text,
 Wow This is a lot of fun!!,
 Good new game Just started it but enjoying none the less,
" Love it!! It's a really fun game, and very addicting! :)",
" Great game. Need more gem opportunities It's a great game. Gets harder to select and drag things when it's busy. Needs bugs fixed.
Gems are harder to come by after the first burger joint is complete",
 Bee's I love this game so addicting!!! I recommend you try it.,
 Interesting game A good way to pass the time.,
" Wow I love this app!

I've just started and I love how you can become famous, what a amazing idea.",
 Angry birds Sweet,
" CRRRRRRAASSSSSHHHHHHHHHHHH!!!!!! Fun idea, but crashes or sticks constantly.  PLEASE FIX THESE BUGS BEFORE WE HAVE TO ELPHABA YOU.",
" Teacher NZ Not sure what's going on.  Used to get daily bonus...  Then the link now wants me to connect to FB...  But doing that resets whole game!!  Not happy when you get to level 235.... Restarted again...  Made progress, but daily bonus not appear...  Now third time restart, had daily bonus...  But now it wants to connect to FB....  That's not happening",
" Simply entertaining A great Facebook game.  Simple, fun and interactive.  A game to share with everyone.",
" Do it Little bit badass. Funny animation, cool story, easy to pick up. Do it",
 Good Good,
" Great game It's a simple but fun game, good gameplay and heroes/characters. 
But sometimes randomly closes app and has random lag spikes, other than that great! <3",
 Need to fix a lot of things A lot of stuff needs to be fixed on this app. Absolutely horrible.,
 Just 12345 Ok,
 Awesome The best game ever!!! Love it!!,
 Update Just updated and have lost all my coins <f0><U+009F><U+0098><U+00A2>,
 Brill Best game ever,
 Amazinggggg!! I want to be a cook when I get older and this is a wonderful game. It challenges me and its really funny when the customers get mad.,
 Awesome game I love this game love detective work,
" Love it I am so hooked, I can't stop playing",
 Hay Day AXES AXES WHERE ARE THEY Where are all the axes hay day your not making this a pleasant game to play anymore im fed up now NO AXES and don't say find them in the paper as there aren't any !!!!!! What a con thus game is becoming..... <f0><U+009F><U+0098><U+00A1>,
 Loads of fun Fantastic and fun for everyone,
" subway surferss im in love with this game! its great for when your traveling as it doesnt require wifi! the only downer to me is that there is in app purchases which dont particularly need to be there, but other than that 5/5",
 Ok Ok as a time filler,
" Awesome game Been playing since 2012, love it but gosh it gets so expensive to upgrade things. Guess that's the thrill of the challenge hey.",
 Addictive Very addictive will give you hours of fun.,
 AMAZING!!!! but... This is an awesome game don't get me wrong but the on thing I REALLY want is more than 3 outfits for each person. I mean there are some good ones but some others are <f0><U+009F><U+0098><U+0091><f0><U+009F><U+0091><U+008E>. So can you add more than 3 outfits please? Also can you and a REALLY REALLY REALLY REALLY REALLY good one for Olivia? Beacuse I already have her one costume which is AMAZING but I would like others please thank you!!!,
 Fun I like it.,
 No good I liked part of your update on October 31st. But having the animals take a week to produce is stupid. At least a day or better yet 6 hours and use water and food to shorten it to 30 min.,
" Very well made :D I've played a lot of these type of games but this has to be the best one!  it doesn't force you to buy in app purchases as much as other games. Graphics pretty good and it is a good time passer, I do recommend this :)",
" Hay day This game is amazing,you will never want to stop playing this game it is so addictive. The only thing I would change about it is that the prices are to high to buy the machines and get rid of stuff plus you normally can only buy something in more than a month because you don't have that much money other than that it is AWESOME!!!     :) :) :) :) :) :).",
 ait yeh its pretty addictive to a point,
" GOW rocks Awesome game highly addictive recommend to all 
Meet people join alliances have fun when playing <f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0084>
Rule the kingdom what more can you ask for in a game
Thanks guys keep up the good work
<f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B9><f0><U+009F><U+008C><U+00B9><U+263A><U+263A><U+263A><U+263A>",
 Best app ever Great app get it,
 Nothing like I was hoping for! I thought it might be like black ops zombie but it's not.    Can we have online co-op atleast,
 Very good but Can u please fix this bug it always kicks me out of the server can u please fix it thanks :),
 Fun game Great for when I want to relax after a long day at work,
 Awesome I love it....addicting,
 Amy Great!!,
" Updated now it won't play Going along fine now all of a sudden after the last update it goes to the play screen, freezes and reset to the main iPad screen. Very disappointed. How do I fix this???",
 Plumbers crack This game is so cool I highly recommend it,
 The goats An amazing game and the graphics have got a lot better since the last update. If you are reading this please join the co op called the goats. We have great friends and fun.,
" 4 I suggest Order of Chaos its better by so much, but this game is alright",
 Love I love this game I just don't like this version because it doesn't have the option to use the blue keys and I wish I could transfer phone to phone.,
 Awesome game Amazing fun and 100% addictive!,
 Fab Good fun to pass time,
 Fun Game Simply fun and addictive game.,
 Fun Game Fun and exciting game!,
 Amazing <f0><U+009F><U+0098><U+009D> Best game ever,
" Amaaaazing! It's a really good game with good graphics and a good-simple story...I like every concept in the game, It's really cool to play...But you should fix that, Every time i finish a run, It asks me if i want it to let it post on my facebook, I denied, And after the next run...It asks me again!",
 Wicked! Fun!,
 Farm Good game,
" Level counter Can you please explain why after playing for over 3 years I am still only on level 12 while my partner who has only been playing for 7 months is sitting on level 13. We often play the same amount of time and win on average the same amount of money, could you look into my account and see if there is a problem.",
 Ballin! Good times! I wonder about the statics and dynamics behind some of those structures though!!,
 Awesome I love this game it awesome,
 It's met Great game,
" Hay Day This is a 5 star game, NO DOUBT!!!  As for downloading for free, yes, but DEFINITELY plan on spending some bucks for the needed diamonds.  give it up and pay the $100 for 3750 of them!!!

Barring the cost, it advances with each step that any player knows that it will become more complicated...Not in the way of normal
Games.  You have your farm, come to care for it, and therefore go forward.  You want to check it out all of the time.  Each advance
Challenges you more, as you have to remember more things to do. 

You can play at your own pace, design your own grounds, and have one HECK of a lot of fun with this game.  It must have taken YEARS to design it!!!  Trust me, try it, get rid of the first $100 bucks for the much needed, and cheaply returned, diamonds, and
Have more fun, with building challenges at your own rate.  This game is truly incredible....It is not gambling...You are on your own farm, the animals are adorable, and they switch animation during the seasons.  You work towards different levels, HOWever,
YOU achieve, not as a competitor, but by yourself...

Play the $100 right off, be patient and do not spend too many diamonds, and then play a truly quality game....CKT",
 Wicked the game I love this game!  Had some problems with getting requests in the game at first but seems better.,
 So awesome must play Read the title,
 BEST GAME EVER !! I love the graphics and levels of this game ! BIG credit to all who made this game ! <f0><U+009F><U+0098><U+008A>,
 Ridiculous ! Twice the game has restarted on me! It's ridiculous!,
 Force close This game is great but always force closes when you finish the epilogue .,
 A fun skating game! Simple controls and tons of characters and upgrades. The game gets updated a lot with new places - Halloween theme is cool!,
 Great game Great sleuth game,
 Always Improving Love all the diff. maps and updates. You cant tell where you will be next it is amazing!! <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D>,
 This game is really cool! I love this game it's so fun and really enjoyable to play! Some things I think you should add thou is that u should add getting dirty with people and showing it on the screen! Also people should have babies on here! Another thing u could add is when u have nothing to do while u are waiting for the next thing to come up somebody should call u to meet up or go on a date ! This game is really good but with these improvements it will make it even better!,
 Mean This is da coolest game eva!!!!!!,
 Great Game This is a great game with the next update you should allow the option to play the saved game on multiple devices.,
" Fun but... The gameplay is very fun. However, like most games like this you will hit a point where it's nearly impossible to proceed without spending money. The levels get difficult to the point that you either give up or spend some cash. I played it and enjoyed it but the in app purchases are a bit high, so I'm deleting it.",
" Nice app Good and entertaining app, I play it for hours but it is rigged when the bonus reels appear, when 2 of the bonus reels appear the spinning time takes longer and guess what NO THIRD BONUS, otherwise very playable",
 Can't connect to facebook Recently passed a staged that I've been stuck on and now my game won't sync to fb. A bit annoying. Otherwise addicting,
 Amazing Best game ever,
 <3 Awsome game really makes you think takes your mind of annoying people for a little bit,
 Love love love Awesome game!,
 Suggestion Can you add the option to test your defences to find weak spots in your base?,
 Upfarm Great,
 Awesome Best Game!!!,
" Great game! It's easy, but very addictive to play! It's great for a boredom cure!",
 Very addictive and fun Fun and addictive,
" Great game! Very rich scenery. Really fluid, great gameplay.",
 Love it Love this game keeps me entertained for hours! Must get.......!,
 Very fun game Very fun game,
 Good Fun game but some of the upgrades take to long. For example inferno tower and x bow and town hall upgrades,
" Hell yea! Awesome game! I play it all the time, but it crashes way to many times! I'm Starting to not play it because I can't even fight without the game crashing!! Please fix!!!",
 I hate it when I hit the freaking train  but I'm good with it's I hate it when I hit something but so far I'm good,
" Fun and addictive Really loving this game! Just be warned, it's very addictive! I even got my husband hooked! Do wish there was a way (aside from Tom, who I refuse to pay diamonds) to search for items in the paper. But otherwise, great game, thanks!",
" Crash Crash , crash, crash, don't think I have watched a full program with out a crash",
